kepid	koi_period	koi_prad	koi_quarters
5115978	1.028436523	72.77	
5164255	15.375623690	11.01	01000011011101110000000000000000
5252423	8.103632710	2.11	11110111011101110000000000000000
5252423	4.715108430	1.46	11110111011101110000000000000000
5272878	6.365839713	2.44	11111111111111111000000000000000
5283542	5.975817540	3.86	11111011101110111000000000000000
5649215	2.446737317	26.25	11111111111111111000000000000000
5651104	3.040330460	8.99	11111111111111111000000000000000
5792202	15.335286750	5.00	11111111111111111000000000000000
10875245	7.958253280	1.06	11111101110111011000000000000000
5792202	31.330461350	6.50	11111111111111111000000000000000
5370302	3.904342500	12.28	11111011101110111000000000000000
5372966	9.286358079	17.61	11111011101110111000000000000000
5376067	3.951405455	31.44	11111011101110111000000000000000
5436502	23.653694150	7.89	11111111111111111000000000000000
5436502	13.233522140	3.06	11111111111111111000000000000000
5436502	6.155602850	2.32	11111111111111111000000000000000
5436502	2.090811305	1.62	11111111111111111000000000000000
10875245	3.180027898	1.53	11111101110111011000000000000000
5436502	50.446741700	2.67	11111111111111111000000000000000
5456651	11.763071640	2.35	11111011101110111000000000000000
5456651	56.227927100	2.37	11111011101110111000000000000000
5481416	2.384052875	17.06	01111111111111111000000000000000
5531576	7.953547000	2.25	11111111111111111000000000000000
5531576	4.144516560	1.48	11111111111111111000000000000000
5534814	4.859386384	38.33	11111111111111111000000000000000
6291653	10.526294577	8.24	11111111111111111000000000000000
6392727	4.583520948	5.39	11111111111111111000000000000000
6422070	3.761818430	2.66	11110111011101110000000000000000
6428700	8.203969580	3.01	11111111111111111000000000000000
6428700	14.496451860	3.01	11111111111111111000000000000000
5792202	6.546261490	2.19	11111111111111111000000000000000
5794379	12.718098660	2.31	11111111111111111000000000000000
5794379	36.065881630	2.64	11111111111111111000000000000000
5881688	4.190425659	6.21	11111111111111111000000000000000
6022556	3.709870784	4.35	11110111011101110000000000000000
6032497	16.329752700	3.75	11111111111111111000000000000000
6061119	27.807566216	13.84	11111111111111111000000000000000
6191521	80.872346900	7.59	11111111111111111000000000000000
6267425	3.166465862	26.82	01110111011101110000000000000000
3531558	24.993243190	2.29	11111111111111111000000000000000
6276477	10.355331160	2.47	11111111111111111000000000000000
6863998	16.085189370	3.68	11111111111111111000000000000000
6867155	235.998639900	10.59	11111111111111111000000000000000
6948054	7.490183050	2.56	11111111111111111000000000000000
6948054	36.276123800	3.03	11111111111111111000000000000000
6948054	17.460879310	2.32	11111111111111111000000000000000
6435936	56.056075400	1.94	11111111111111111000000000000000
6522242	41.408316686	11.38	11111111111111111000000000000000
6526710	39.748930770	14.21	11111111111111111000000000000000
6587280	5.715425977	2.47	11110111011101110000000000000000
9471974	49.183941850	8.20	11111111111111111000000000000000
6587280	20.026141200	2.28	11110111011101110000000000000000
6599919	13.610148190	19.02	11111111111111111000000000000000
6675056	10.443319910	2.66	01111111111111111000000000000000
6685526	2.237489571	1.41	11111111111111111000000000000000
6756669	5.851520671	14.62	11110111011101110000000000000000
6784235	3.167893418	2.62	11111111111111111000000000000000
6849310	4.311780262	3.11	01111111111111111000000000000000
6849310	20.050449400	2.69	01111111111111111000000000000000
6849310	9.767345030	2.67	01111111111111111000000000000000
6862328	119.020704400	8.98	11111111111111111000000000000000
9471974	190.320046800	7.78	11111111111111111000000000000000
6862603	2.861159894	4.37	01111111111111111000000000000000
7366258	26.444393370	3.91	11111111111111111000000000000000
7366258	51.539979720	5.51	11111111111111111000000000000000
7366258	5.902245782	2.43	11111111111111111000000000000000
7366258	2.382951591	1.86	11111111111111111000000000000000
7373451	21.022506080	3.07	11111111111111111000000000000000
6948054	3.219814777	1.69	11111111111111111000000000000000
6949607	5.912273234	1.73	11111111111111111000000000000000
